QUARTIER,POPULATION TOTALE,LATITUDE,LONGITUDE,SEXE,NB_HAB
FAOURETTE,2934.01893651,43.579089711,1.41516717099,FEMMES,1586.784422735
LA CEPIERE,4284.811722242,43.5901679443,1.40743933272,FEMMES,2302.310154464
MONTAUDRAN - LESPINET,10149.42262551,43.5687360737,1.49233869826,FEMMES,4745.115916212
RANGUEIL - CHR - FACULTES,12385.9280146,43.5628058034,1.45480916802,FEMMES,5841.0628526
LARDENNE,6121.08783565,43.595449714,1.38474942577,FEMMES,3323.477856991
CARMES,5331.970382843,43.596087197,1.44140164967,FEMMES,2810.766813949
SAINT-CYPRIEN,4005.3277684120003,43.5979483154,1.43391769916,FEMMES,2109.848506745
LES CHALETS,6689.19693354,43.6134014354,1.44269511567,FEMMES,3577.501697103
MATABIAU,6340.519973740001,43.6098970462,1.44949474288,FEMMES,3168.388885679
SAINT-MICHEL,9387.07451779,43.5876699389,1.44515304105,FEMMES,4778.060366029
FER-A-CHEVAL,5030.717559424001,43.5908108277,1.42879744573,FEMMES,2694.516243905
SEPT DENIERS,5245.82909457,43.6182067593,1.41049915359,FEMMES,2778.352078113
MINIMES,20436.02436469,43.6191621779,1.43195460628,FEMMES,10584.267333610002
BONNEFOY,6973.757392879999,43.6195659969,1.45452253663,FEMMES,3691.158277487
SAINT-AGNE,5215.895732,43.5811685648,1.44790602757,FEMMES,2636.713814904
EMPALOT,4267.793225914,43.5788165728,1.44020779771,FEMMES,2159.391711056
LES IZARDS,4007.465944764,43.6399492008,1.4430297077,FEMMES,2053.761705346
SOUPETARD,2852.730201964,43.6081037936,1.47658009018,FEMMES,1483.548589118
CHATEAU-DE-L'HERS,7255.69005811,43.5980705541,1.48360553849,FEMMES,3755.916036399
POUVOURVILLE,3126.284634494,43.5461910801,1.45271875461,FEMMES,1617.481795677
BELLEFONTAINE,4696.898535188,43.5629440283,1.39914514871,FEMMES,2419.029556518
SAINT-MARTIN-DU-TOUCH,4000.213784568,43.6104501683,1.36860739141,FEMMES,2080.429234187
PURPAN,6508.93189763,43.6121713231,1.39776741099,FEMMES,3550.084704462
