QUARTIER,POPULATION TOTALE,LATITUDE,LONGITUDE,CSP,NB_HAB
GINESTOUS,736.876123353,43.644969534,1.41306195552,CSP+,93.9808984908
LALANDE,9132.670950418,43.6529517507,1.43461798789,CSP+,1368.438358895
CROIX-DAURADE,21285.04642504,43.640852425,1.45772918594,CSP+,3796.2798488135
LA FOURGUETTE,4451.788271085,43.5629079932,1.41078954004,CSP+,596.84285945376
SAINT-SIMON,6897.06002169,43.5575428976,1.37851791718,CSP+,1841.150169783
BASSO-CAMBO,2272.43400404,43.5734940995,1.37932901549,CSP+,567.9403083317001
CAPITOLE,5103.689668669,43.6022244026,1.44055171361,CSP+,1431.72308585133
COMPANS,6534.325570423,43.6107166746,1.43016543261,CSP+,1721.511010279
CROIX-DE-PIERRE,5282.59716576,43.5776887837,1.42448790579,CSP+,1101.9387944789999
FAOURETTE,2934.01893651,43.579089711,1.41516717099,CSP+,239.32106665435
LA CEPIERE,4284.811722242,43.5901679443,1.40743933272,CSP+,585.9598214016
MONTAUDRAN - LESPINET,10149.42262551,43.5687360737,1.49233869826,CSP+,1689.89870019767
RANGUEIL - CHR - FACULTES,12385.9280146,43.5628058034,1.45480916802,CSP+,2635.090829289
LARDENNE,6121.08783565,43.595449714,1.38474942577,CSP+,1407.5079194469997
CARMES,5331.970382843,43.596087197,1.44140164967,CSP+,1802.121079367
SAINT-CYPRIEN,4005.3277684120003,43.5979483154,1.43391769916,CSP+,1262.4712312725
LES CHALETS,6689.19693354,43.6134014354,1.44269511567,CSP+,2208.096854489
MATABIAU,6340.519973740001,43.6098970462,1.44949474288,CSP+,1624.7571984002002
SAINT-MICHEL,9387.07451779,43.5876699389,1.44515304105,CSP+,2624.32346768
FER-A-CHEVAL,5030.717559424001,43.5908108277,1.42879744573,CSP+,1415.109553385
SEPT DENIERS,5245.82909457,43.6182067593,1.41049915359,CSP+,1434.2118402229999
MINIMES,20436.02436469,43.6191621779,1.43195460628,CSP+,4846.50124650375
BONNEFOY,6973.757392879999,43.6195659969,1.45452253663,CSP+,1369.500917591
SAINT-AGNE,5215.895732,43.5811685648,1.44790602757,CSP+,1399.089226699
EMPALOT,4267.793225914,43.5788165728,1.44020779771,CSP+,306.17697499999997
LES IZARDS,4007.465944764,43.6399492008,1.4430297077,CSP+,460.52317861903
SOUPETARD,2852.730201964,43.6081037936,1.47658009018,CSP+,511.39597970319994
CHATEAU-DE-L'HERS,7255.69005811,43.5980705541,1.48360553849,CSP+,1718.31241068339
POUVOURVILLE,3126.284634494,43.5461910801,1.45271875461,CSP+,989.2871513281999
BELLEFONTAINE,4696.898535188,43.5629440283,1.39914514871,CSP+,243.34570808427
SAINT-MARTIN-DU-TOUCH,4000.213784568,43.6104501683,1.36860739141,CSP+,1022.661191156
PURPAN,6508.93189763,43.6121713231,1.39776741099,CSP+,1064.242886695
SAINT-GEORGES,3379.4401279589997,43.6033446246,1.44816584645,CSP-,1695.8626513098002
SAINT-AUBIN - DUPUY,7753.588089173001,43.6026477041,1.453756664,CSP-,3813.702027298
